Name_data_0,Data_0,Name_data_1,Data_1,Name_data_2,Data_2,Data_3,Data_4,Data_5,Date
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,2.48,Energiamaksu,0.43,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vihreä Älyenergia Oy,2025-06-01
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.04,Energiamaksu,0.40,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Herrfors Oy Ab,2025-06-01
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.60,Energiamaksu,0.41,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Porvoon Energia Oy,2025-06-01
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,3.95,Energiamaksu,0.40,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Äänekosken Energia Oy,2025-06-01
Sopimustyyppi,Toistaiseksi voimassaoleva,Energiamaksu,0.40,Kuukausimaksu,4.00,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Paneliankosken Voima Oy,2025-06-01
Sopimustyyppi,Toistaiseksi voimassaoleva,Kuukausimaksu,4.00,Energiamaksu,0.41,Pörssisidonnainen,Toistaiseksi voimassa kahden viikon irtisanomisajalla,Vaasan Sähkö Myynti Oy,2025-06-01
Sopimustyyppi,"(contracttypefixed_Below6)
Määräaikainen",Energiamaksu,4.29,Kuukausimaksu,5.95,Kiinteähintainen,Sopimuskauden keston mukaan,Aalto energia Oy,2025-06-01
Sopimustyyppi,"(contracttypefixed_Below6)
Määräaikainen",Energiamaksu,4.99,Kuukausimaksu,5.95,Kiinteähintainen,Sopimuskauden keston mukaan,Aalto energia Oy,2025-06-01
Sopimustyyppi,"(6 kk)
Määräaikainen",Kuukausimaksu,5.90,Energiamaksu,5.65,Hybridi,Sopimuskauden keston mukaan,Imatran Seudun Sähkö Oy,2025-06-01
Sopimustyyppi,"(6 kk)
Määräaikainen",Kuukausimaksu,5.90,Energiamaksu,5.99,Hybridi,Sopimuskauden keston mukaan,Oomi Oy,2025-06-01
Sopimustyyppi,"(12 kk)
Määräaikainen",Kuukausimaksu,4.91,Energiamaksu,6.96,Hybridi,Sopimuskauden keston mukaan,Lumme Energia,2025-06-01
